Date,Open,High,Low,Close
2020-08-24,11663.68945,11807.63184,11185.94141,11711.50586
2020-08-31,11713.30664,12067.08105,9946.675781,10280.35156
2020-09-07,10280.99805,10578.83789,9916.493164,10323.75586
2020-09-14,10328.73438,11134.09277,10266.00879,10938.27148
2020-09-21,10934.92578,10988.30469,10197.86523,10775.26953
2020-09-28,10776.61328,10945.34766,10416.68945,10669.58301
2020-10-05,10676.5293,11442.21094,10528.89063,11384.18164
2020-10-12,11392.63574,11698.46777,11223.0127,11483.35938
2020-10-19,11495.03809,13329.18359,11408.29004,13031.17383
2020-10-26,13031.20117,14028.21387,12822.38281,13737.10938
2020-11-02,13737.03223,15903.4375,13243.16016,15479.56738
2020-11-09,15479.5957,16463.17773,14865.5293,15955.58789
2020-11-16,15955.57715,18936.62109,15880.70605,18370.00195
2020-11-23,18370.01758,19390.96484,16351.03516,18177.48438
2020-11-30,18178.32227,19845.97461,18178.32227,19345.12109
2020-12-07,19343.12891,19411.82813,17619.5332,19142.38281
2020-12-14,19144.49219,24209.66016,19012.70898,23477.29492
2020-12-21,23474.45508,28288.83984,22159.36719,26272.29492
2020-12-28,26280.82227,34608.55859,25987.29883,32782.02344
2021-01-04,32810.94922,41946.73828,28722.75586,38356.44141
2021-01-11,38346.53125,39966.40625,30549.59961,35791.27734
2021-01-18,35792.23828,37755.89063,28953.37305,32289.37891
2021-01-25,32285.79883,38406.26172,29367.13867,33114.35938
2021-02-01,33114.57813,40846.54688,32384.22852,38903.44141
2021-02-08,38886.82813,49487.64063,38076.32422,48717.28906
2021-02-15,48696.53516,58330.57031,46347.47656,57539.94531
2021-02-22,57532.73828,57533.39063,43241.61719,45137.76953
2021-03-01,45159.50391,52535.13672,45115.09375,51206.69141
2021-03-08,51174.11719,61683.86328,49506.05469,59302.31641
2021-03-15,59267.42969,60540.99219,53555.02734,57523.42188
2021-03-22,57517.89063,58471.48047,50856.57031,55950.74609
2021-03-29,55947.89844,60267.1875,55139.33984,58758.55469
2021-04-05,58760.875,61276.66406,55604.02344,60204.96484
2021-04-12,60175.94531,64863.09766,52829.53516,56216.18359
2021-04-19,56191.58594,57520.05469,47159.48438,49004.25391
2021-04-26,49077.79297,58448.33984,48852.79688,56631.07813
2021-05-03,56620.27344,59464.61328,52969.05469,58232.31641
2021-05-10,58250.87109,59519.35547,43963.35156,46456.05859
2021-05-17,46415.89844,46623.55859,30681.49609,34770.58203
2021-05-24,34700.36328,40782.07813,33520.73828,35678.12891
2021-05-31,35658.59375,39478.95313,34241.94531,35862.37891
2021-06-07,35835.26563,39322.78125,31114.44336,39097.85938
2021-06-14,39016.96875,41295.26953,33432.07422,35698.29688
2021-06-21,35641.14453,35721.64063,28893.62109,34649.64453
2021-06-28,34679.12109,36542.10938,32770.67969,35287.78125
2021-07-05,35284.34375,35284.34375,32133.18359,34240.1875
2021-07-12,34254.01563,34592.15625,31100.67383,31796.81055
2021-07-19,31800.01172,35364.92578,29360.95508,35350.1875
2021-07-26,35384.03125,42541.67969,35287.3125,39974.89453
2021-08-02,39907.26172,45282.35156,37458.00391,43798.11719
2021-08-09,43791.92578,48098.68359,42848.6875,47047.00391
2021-08-16,47019.96094,49717.01953,43998.31641,49321.65234
2021-08-23,49291.67578,50482.07813,46394.28125,48829.83203
2021-08-30,48834.85156,51868.67969,46562.4375,51753.41016
2021-09-06,51769.00391,52853.76563,43285.20703,46063.26953
2021-09-13,46057.21484,48791.78125,43591.32031,47260.21875
2021-09-20,47261.40625,47328.19922,39787.60938,43208.53906
2021-09-27,43234.18359,49130.69141,40829.66797,48199.95313
2021-10-04,48208.90625,56401.30469,47045.00391,54771.57813
2021-10-11,54734.125,62757.12891,54370.97266,61553.61719
2021-10-18,61548.80469,66930.39063,59643.34375,60930.83594
2021-10-25,60893.92578,63729.32422,58206.91797,61318.95703
2021-11-01,61320.44922,64242.79297,59695.18359,63326.98828
2021-11-08,63344.06641,68789.625,62333.91406,65466.83984
2021-11-15,65521.28906,66281.57031,55705.17969,58730.47656
2021-11-22,58706.84766,59367.96875,53569.76563,57248.45703
2021-11-29,57291.90625,59113.40234,42874.61719,49368.84766
2021-12-06,49413.48047,51934.78125,46942.34766,50098.33594
2021-12-13,50114.74219,50205,45598.44141,46707.01563
2021-12-20,46707.0625,51814.02734,45579.80859,50809.51563
2021-12-27,50802.60938,51956.32813,45819.95313,47345.21875
2022-01-03,47343.54297,47510.72656,40672.27734,41911.60156
2022-01-10,41910.23047,44278.42188,39796.57031,43113.87891
2022-01-17,43118.12109,43413.02344,34349.25,36276.80469
2022-01-24,36275.73438,38825.41016,33184.05859,37917.60156
2022-01-31,37920.28125,42500.78516,36375.53906,42412.43359
2022-02-07,42406.78125,45661.17188,41748.15625,42197.51563
2022-02-14,42157.39844,44667.21875,38112.8125,38431.37891
2022-02-21,38423.21094,40005.34766,34459.21875,37709.78516
2022-02-28,37706,45077.57813,37518.21484,38419.98438
2022-03-07,38429.30469,42465.67188,37260.20313,37849.66406
2022-03-14,37846.31641,42316.55469,37680.73438,41247.82422
2022-03-21,41246.13281,46827.54688,40668.04297,46820.49219
2022-03-28,46821.85156,48086.83594,44403.14063,46453.56641
2022-04-04,46445.27344,47106.14063,42021.20703,42207.67188
2022-04-11,42201.03906,42424.58984,39373.05859,39716.95313
2022-04-18,39721.20313,42893.58203,38696.19141,39469.29297
2022-04-25,39472.60547,40713.89063,37585.78906,38469.09375
2022-05-02,38472.1875,39902.94922,33878.96484,34059.26563
2022-05-09,34060.01563,34222.07422,26350.49023,31305.11328
2022-05-16,31304.375,31305.3418,28708.95508,30323.72266
2022-05-23,30309.39648,30590.58594,28261.90625,29445.95703
2022-05-30,29443.36523,32249.86328,29303.57227,29906.66211
2022-06-06,29910.2832,31693.29102,26762.64844,26762.64844
2022-06-13,26737.57813,26795.58984,17708.62305,20553.27148
2022-06-20,20553.37109,21783.72461,19689.16992,21027.29492
2022-06-27,21028.23828,21478.08984,18729.65625,19297.07617
