date,token,price,marketCap,total,share,z,x,c,v,b,n,m
2017-11-01,ETH,447.1140137,53.65368164,299.4412031,0.179179355,0.119883001,1.996970057,10233.59961,447.1140137,0,0.250878006,299.4412031
2017-12-01,ETH,756.7329712,90.80795654,652.2627556,0.139219901,0.719694972,8.635580063,14156.40039,756.7329712,0,2.300570011,652.2627556
2018-01-01,ETH,1118.310059,134.1972071,490.6774735,0.273493719,0.519315004,11.14500046,10221.09961,1118.310059,0,1.162389994,490.6774735
2018-02-01,ETH,855.1989746,102.623877,427.591868,0.240004277,0.312581003,10.4382,10397.90039,855.1989746,0,0.904582977,427.591868
2018-03-01,ETH,396.4570007,47.57484008,254.4818008,0.186947907,0.155919001,11.05589962,6973.529785,396.4570007,0,0.512353003,254.4818008
2018-04-01,ETH,669.9240112,80.39088134,376.5479577,0.213494403,0.343317986,14.31210041,9240.549805,669.9240112,0,0.837938011,376.5479577
2018-05-01,ETH,577.6450195,69.31740234,300.9298431,0.230344062,0.225214005,14.19019985,7494.169922,577.6450195,0,0.612622023,300.9298431
2018-06-01,ETH,455.1799927,54.62159912,244.8567534,0.22307573,0.137670994,14.6573,6404,455.1799927,0,0.466244996,244.8567534
2018-07-01,ETH,433.8670044,52.06404053,268.1792254,0.194138977,0.143297002,13.77540016,7780.439941,433.8670044,0,0.43522501,268.1792254
2018-08-01,ETH,283.0039978,33.96047974,222.084442,0.152916969,0.102196001,11.01379967,7037.580078,283.0039978,0,0.335332006,222.084442
2018-09-01,ETH,232.8480072,27.94176086,231.0730567,0.120921761,0.085194997,10.01780033,6625.560059,232.8480072,0,0.581571996,231.0730567
2018-10-01,ETH,197.3809967,23.6857196,206.2081725,0.114863147,0.069705002,9.364959717,6317.609863,197.3809967,0.008824,0.44838199,206.2081725
2018-11-01,ETH,113.1714172,13.58057006,136.9573973,0.099159084,0.038915999,5.078571796,4017.268555,113.1714172,0.003269,0.36245501,136.9573973
2018-12-01,ETH,133.3682556,16.00419067,132.9529369,0.120374856,0.041063,6.164731979,3742.700439,133.3682556,0.001226,0.352705985,132.9529369
2019-01-01,ETH,107.0610123,12.84732148,119.4459947,0.107557574,0.038373999,6.268435955,3457.792725,107.0610123,0.001695,0.310036004,119.4459947
2019-02-01,ETH,136.7462463,16.40954956,132.8824696,0.123489198,0.043122999,10.36517811,3854.7854,136.7462463,0.001972,0.31507799,132.8824696
2019-03-01,ETH,141.5140991,16.98169189,140.7381486,0.120661612,0.069746003,17.40167046,4105.404297,141.5140991,0.002171,0.309228987,140.7381486
2019-04-01,ETH,162.1660309,19.45992371,170.3641807,0.114225441,0.070345998,22.12783623,5350.726563,162.1660309,0.000491,0.309475988,170.3641807
2019-05-01,ETH,268.1135559,32.17362671,266.6703505,0.120649433,0.089441001,32.74816513,8574.501953,268.1135559,0.000571,0.438573986,266.6703505
2019-06-01,ETH,290.6959839,34.88351807,311.8680914,0.111853437,0.082098,32.44248199,10817.15527,290.6959839,0.000571,0.396411002,311.8680914
2019-07-01,ETH,218.6541443,26.23849732,278.3636409,0.094259786,0.060152002,27.64455795,10085.62793,218.6541443,0.000571,0.320908993,278.3636409
2019-08-01,ETH,172.4697876,20.69637451,255.1387589,0.081118112,0.044989999,21.26591492,9630.664063,172.4697876,0.000571,0.259204,255.1387589
2019-09-01,ETH,179.8722076,21.58466491,226.2718611,0.095392617,0.038885001,15.86267471,8293.868164,179.8722076,0.000571,0.255932987,226.2718611
2019-10-01,ETH,183.9669189,22.07603027,250.777086,0.088030492,0.041636001,20.0002327,9199.584961,183.9669189,0.000571,0.296357989,250.777086
2019-11-01,ETH,152.5396881,18.30476257,204.8770115,0.089345127,0.040424999,15.71595097,7569.629883,152.5396881,0.000571,0.226474002,204.8770115
2019-12-01,ETH,129.6108551,15.55330261,190.1321434,0.081802594,0.032845002,13.72764206,7193.599121,129.6108551,0.000571,0.192893997,190.1321434
2020-01-01,ETH,180.1601715,21.61922058,247.9668229,0.08718594,0.053792998,18.21097946,9350.529297,180.1601715,0.000571,0.239233002,247.9668229
2020-02-01,ETH,219.8485107,26.38182128,236.1472758,0.111717661,0.047541,19.58409119,8599.508789,219.8485107,0.000571,0.231193006,236.1472758
2020-03-01,ETH,133.5935669,16.03122803,172.590576,0.092885883,0.030553,12.58160591,6438.644531,133.5935669,0.000571,0.174563006,172.590576
2020-04-01,ETH,207.6020508,24.9122461,233.9482393,0.106486145,0.047846001,17.0339756,8658.553711,207.6020508,0.691044986,0.212761,233.9482393
2020-05-01,ETH,230.975708,27.71708496,253.7493815,0.109230158,0.074352004,17.04047203,9461.058594,230.975708,0.570021987,0.202905998,253.7493815
2020-06-01,ETH,226.3150024,27.15780029,243.9266037,0.111335951,0.083116002,15.41358185,9137.993164,226.3150024,0.860094011,0.175870001,243.9266037
2020-07-01,ETH,345.554657,41.46655884,316.3537651,0.131076546,0.138797998,20.66814613,11323.4668,345.554657,1.538177967,0.25890401,316.3537651
2020-08-01,ETH,435.0797424,52.20956909,338.4061422,0.154280796,0.122688003,23.19305038,11680.82031,435.0797424,4.782045841,0.281765997,338.4061422
2020-09-01,ETH,359.9378662,43.19254394,305.8044868,0.141242349,0.101062,29.29087639,10784.49121,359.9378662,2.897876024,0.241784006,305.8044868
2020-10-01,ETH,386.590332,46.39083984,370.4657148,0.125223031,0.093056001,28.43121529,13780.99512,386.590332,1.540699959,0.239743993,370.4657148
2020-11-01,ETH,614.8425293,73.78110352,567.3990268,0.130033892,0.171307996,31.39278603,19625.83594,614.8425293,1.96689105,0.664336979,567.3990268
2020-12-01,ETH,737.8034058,88.5364087,736.0050563,0.120293207,0.181397006,37.37603378,29001.7207,737.8034058,1.510897994,0.219845995,736.0050563
2021-01-01,ETH,1314.986206,157.7983447,929.0924819,0.169841375,0.344897985,44.27599335,33114.35938,1314.986206,4.264143944,0.492314011,929.0924819
2021-02-01,ETH,1416.04895,169.925874,1267.107704,0.134105312,1.308058977,209.5744019,45137.76953,1416.04895,13.08924675,0.414952993,1267.107704
2021-03-01,ETH,1918.362061,230.2034473,1649.428751,0.13956556,1.193264008,302.063446,58918.83203,1918.362061,19.46522903,0.57386899,1649.428751
2021-04-01,ETH,2773.207031,332.7848437,1913.40667,0.173922695,1.352449059,624.0805664,57750.17578,2773.207031,42.95600128,1.59167397,1913.40667
2021-05-01,ETH,2714.945313,325.7934376,1381.322188,0.235856226,1.742777944,354.3293457,37332.85547,2714.945313,32.81624603,1.04658401,1381.322188
2021-06-01,ETH,2274.547607,272.9457128,1221.414311,0.223466935,1.383471966,303.2958679,35040.83594,2274.547607,35.55640411,0.70637399,1221.414311
