Date,GOLD,SPX
30/07/2020,1967.446777,3246.219971
31/07/2020,1986.943604,3271.120117
01/08/2020,1974.844971,
02/08/2020,1985.152344,
03/08/2020,1984.571777,3294.610107
04/08/2020,2035.794067,3306.51001
05/08/2020,2049.333008,3327.77002
06/08/2020,2083.294189,3349.159912
07/08/2020,2057.492676,3351.280029
08/08/2020,2040.971069,
09/08/2020,2034.022705,
10/08/2020,2043.313599,3360.469971
11/08/2020,1958.17041,3333.689941
12/08/2020,1943.293823,3380.350098
13/08/2020,1970.71582,3373.429932
14/08/2020,1958.382324,3372.850098
15/08/2020,1944.240356,
16/08/2020,1957.178589,
17/08/2020,1992.56189,3381.98999
18/08/2020,2026.840942,3389.780029
19/08/2020,1945.404419,3374.850098
20/08/2020,1961.816772,3385.51001
21/08/2020,1952.874512,3397.159912
22/08/2020,1947.046509,
23/08/2020,1940.296997,
24/08/2020,1933.931763,3431.280029
25/08/2020,1951.787598,3443.620117
26/08/2020,1958.833008,3478.72998
27/08/2020,1937.405518,3484.550049
28/08/2020,1969.730835,3508.01001
29/08/2020,1963.703491,
30/08/2020,1973.491211,
31/08/2020,1969.627075,3500.310059
01/09/2020,1977.476563,3526.649902
02/09/2020,1947.086426,3580.840088
03/09/2020,1928.309692,3455.060059
04/09/2020,1946.859619,3426.959961
05/09/2020,1954.191162,
06/09/2020,1931.65979,
07/09/2020,1936.160889,
08/09/2020,1927.848877,3331.840088
09/09/2020,1944.781372,3398.959961
10/09/2020,1947.245972,3339.189941
11/09/2020,1942.314331,3340.969971
12/09/2020,1935.687988,
13/09/2020,1939.899902,
14/09/2020,1953.260376,3383.540039
15/09/2020,1950.148926,3401.199951
16/09/2020,1969.706055,3385.48999
17/09/2020,1947.38855,3357.01001
18/09/2020,1952.673096,3319.469971
19/09/2020,1962.277344,
20/09/2020,1960.280884,
21/09/2020,1915.602051,3281.060059
22/09/2020,1909.264282,3315.570068
23/09/2020,1862.442505,3236.919922
24/09/2020,1877.414917,3246.590088
25/09/2020,1876.21814,3298.459961
26/09/2020,1858.099609,
27/09/2020,1861.78064,
28/09/2020,1878.285889,3351.600098
29/09/2020,1897.475098,3335.469971
30/09/2020,1880.542236,3363
01/10/2020,1892.112793,3380.800049
02/10/2020,1902.681763,3348.419922
03/10/2020,1900.844971,
04/10/2020,1890.697021,
05/10/2020,1915.914551,3408.600098
06/10/2020,1879.144043,3360.969971
07/10/2020,1887.399414,3419.439941
08/10/2020,1894.9646,3446.830078
09/10/2020,1931.833008,3477.139893
10/10/2020,1925.088745,
11/10/2020,1927.828125,
12/10/2020,1918.318237,3534.219971
13/10/2020,1897.145752,3511.929932
14/10/2020,1901.294067,3488.669922
15/10/2020,1904.941528,3483.340088
16/10/2020,1900.570068,3483.810059
17/10/2020,1893.390381,
18/10/2020,1896.732788,
19/10/2020,1900.39978,3426.919922
20/10/2020,1901.940063,3443.120117
21/10/2020,1923.862427,3435.560059
22/10/2020,1907.098022,3453.48999
23/10/2020,1910.289917,3465.389893
24/10/2020,1914.435181,
25/10/2020,1908.356689,
26/10/2020,1903.130249,3400.969971
27/10/2020,1905.932739,3390.679932
28/10/2020,1892.295776,3271.030029
29/10/2020,1887.814087,3310.110107
30/10/2020,1897.5177,3269.959961
31/10/2020,1898.77771,
01/11/2020,1895.979736,
02/11/2020,1903.820679,3310.23999
03/11/2020,1917.476563,3369.159912
04/11/2020,1917.273315,3443.439941
05/11/2020,1958.821655,3510.449951
06/11/2020,1960.812256,3509.439941
07/11/2020,1955.045532,
08/11/2020,1962.529053,
09/11/2020,1875.279663,3550.5
10/11/2020,1883.265991,3545.530029
11/11/2020,1871.670654,3572.659912
12/11/2020,1895.3302,3537.01001
13/11/2020,1894.07373,3585.149902
14/11/2020,1899.93457,
15/11/2020,1889.811157,
16/11/2020,1894.793335,3626.909912
17/11/2020,1885.261841,3609.530029
18/11/2020,1877.924194,3567.790039
19/11/2020,1860.756226,3581.870117
20/11/2020,1873.026611,3557.540039
21/11/2020,1874.731812,
22/11/2020,1868.275635,
