Date,BTC,PAXG
2020-11-08,15479.56738,1962.529053
2020-11-09,15332.31543,1875.279663
2020-11-10,15290.90234,1883.265991
2020-11-11,15701.33984,1871.670654
2020-11-12,16276.34375,1895.3302
2020-11-13,16317.80859,1894.07373
2020-11-14,16068.13867,1899.93457
2020-11-15,15955.58789,1889.811157
2020-11-16,16716.11133,1894.793335
2020-11-17,17645.40625,1885.261841
2020-11-18,17804.00586,1877.924194
2020-11-19,17817.08984,1860.756226
2020-11-20,18621.31445,1873.026611
2020-11-21,18642.23242,1874.731812
2020-11-22,18370.00195,1868.275635
2020-11-23,18364.12109,1845.346191
2020-11-24,19107.46484,1815.052734
2020-11-25,18732.12109,1815.046631
2020-11-26,17150.62305,1817.114868
2020-11-27,17108.40234,1798.183716
2020-11-28,17717.41406,1791.043457
2020-11-29,18177.48438,1787.339111
2020-11-30,19625.83594,1788.481445
2020-12-01,18802.99805,1818.847656
2020-12-02,19201.0918,1825.733276
2020-12-03,19445.39844,1841.996582
2020-12-04,18699.76563,1823.175049
2020-12-05,19154.23047,1831.317139
2020-12-06,19345.12109,1829.627197
2020-12-07,19191.63086,1865.852539
2020-12-08,18321.14453,1863.561401
2020-12-09,18553.91602,1839.880737
2020-12-10,18264.99219,1829.250366
2020-12-11,18058.9043,1827.638916
2020-12-12,18803.65625,1826.510742
2020-12-13,19142.38281,1833.974854
2020-12-14,19246.64453,1827.468628
2020-12-15,19417.07617,1844.288452
2020-12-16,21310.59766,1860.12854
2020-12-17,22805.16211,1898.01709
2020-12-18,23137.96094,1892.739868
2020-12-19,23869.83203,1886.487061
2020-12-20,23477.29492,1888.644531
2020-12-21,22803.08203,1889.79541
2020-12-22,23783.0293,1880.693726
2020-12-23,23241.3457,1876.490845
2020-12-24,23735.94922,1890.6604
2020-12-25,24664.79102,1898.064087
2020-12-26,26437.03711,1911.661133
2020-12-27,26272.29492,1926.606567
2020-12-28,27084.80859,1909.008179
2020-12-29,27362.4375,1901.133667
2020-12-30,28840.95313,1916.713257
2020-12-31,29001.7207,1930.472778
2021-01-01,29374.15234,1928.350708
2021-01-02,32127.26758,1960.474365
2021-01-03,32782.02344,1961.231445
2021-01-04,31971.91406,1997.985229
2021-01-05,33992.42969,2020.681396
2021-01-06,36824.36328,1962.541748
2021-01-07,39371.04297,1953.222534
2021-01-08,40797.60938,1875.866333
2021-01-09,40254.54688,1883.228516
2021-01-10,38356.44141,1873.082153
2021-01-11,35566.65625,1861.588379
2021-01-12,33922.96094,1865.882813
2021-01-13,37316.35938,1857.845581
2021-01-14,39187.32813,1867.115601
2021-01-15,36825.36719,1835.156128
2021-01-16,36178.14063,1844.673706
2021-01-17,35791.27734,1836.578369
2021-01-18,36630.07422,1852.851685
2021-01-19,36069.80469,1849.832275
2021-01-20,35547.75,1884.709595
2021-01-21,30825.69922,1883.850708
2021-01-22,33005.76172,1864.253174
2021-01-23,32067.64258,1866.473022
2021-01-24,32289.37891,1859.470215
2021-01-25,32366.39258,1860.490601
2021-01-26,32569.84961,1864.595215
2021-01-27,30432.54688,1848.29248
2021-01-28,33466.09766,1853.601929
2021-01-29,34316.38672,1867.678589
2021-01-30,34269.52344,1866.651489
2021-01-31,33114.35938,1873.111816
2021-02-01,33537.17578,1866.34082
2021-02-02,35510.28906,1852.437134
2021-02-03,37472.08984,1849.331909
2021-02-04,36926.06641,1810.671021
2021-02-05,38144.30859,1833.049805
2021-02-06,39266.01172,1836.380493
2021-02-07,38903.44141,1839.489014
2021-02-08,46196.46484,1848.337769
2021-02-09,46481.10547,1853.686157
2021-02-10,44918.18359,1856.936646
2021-02-11,47909.33203,1838.13562
2021-02-12,47504.85156,1844.084106
2021-02-13,47105.51563,1848.615967
2021-02-14,48717.28906,1844.083252
2021-02-15,47945.05859,1833.849609
2021-02-16,49199.87109,1817.923706
2021-02-17,52149.00781,1798.081665
2021-02-18,51679.79688,1789.232178
2021-02-19,55888.13281,1808.035034
2021-02-20,56099.51953,1815.805664
2021-02-21,57539.94531,1818.622437
2021-02-22,54207.32031,1825.998779
2021-02-23,48824.42578,1820.923462
2021-02-24,49705.33203,1813.367554
2021-02-25,47093.85156,1769.996338
2021-02-26,46339.76172,1749.246948
2021-02-27,46188.45313,1752.509033
2021-02-28,45137.76953,1747.422729
2021-03-01,49631.24219,1728.692993
2021-03-02,48378.98828,1751.131226
2021-03-03,50538.24219,1721.028687
2021-03-04,48561.16797,1707.14978
2021-03-05,48927.30469,1711.907349
2021-03-06,48912.38281,1716.711182
2021-03-07,51206.69141,1720.868286
2021-03-08,52246.52344,1704.699463
2021-03-09,54824.11719,1729.251587
2021-03-10,56008.55078,1739.761719
2021-03-11,57805.12109,1743.667236
2021-03-12,57332.08984,1739.861206
2021-03-13,61243.08594,1744.158447
2021-03-14,59302.31641,1737.068604
2021-03-15,55907.19922,1735.020264
2021-03-16,56804.90234,1743.329102
2021-03-17,58870.89453,1758.459717
2021-03-18,57858.92188,1744.928101
2021-03-19,58346.65234,1763.485718
2021-03-20,58313.64453,1763.453857
2021-03-21,57523.42188,1748.865479
2021-03-22,54529.14453,1748.445435
2021-03-23,54738.94531,1742.188965
2021-03-24,52774.26563,1742.777222
2021-03-25,51704.16016,1732.340942
2021-03-26,55137.3125,1744.706299
2021-03-27,55973.51172,1735.288574
2021-03-28,55950.74609,1749.478271
2021-03-29,57750.19922,1725.286499
2021-03-30,58917.69141,1702.0271
2021-03-31,58918.83203,1716.322754
2021-04-01,59095.80859,1742.772949
2021-04-02,59384.3125,1742.838867
2021-04-03,57603.89063,1743.192017
2021-04-04,58758.55469,1755.434448
2021-04-05,59057.87891,1743.89978
2021-04-06,58192.35938,1759.202515
2021-04-07,56048.9375,1758.219238
2021-04-08,58323.95313,1774.323853
2021-04-09,58245.00391,1753.650146
2021-04-10,59793.23438,1756.067749
2021-04-11,60204.96484,1760.438599
2021-04-12,59893.45313,1747.047485
2021-04-13,63503.45703,1749.950195
2021-04-14,63109.69531,1753.259888
2021-04-15,63314.01172,1772.266968
2021-04-16,61572.78906,1791.919678
2021-04-17,60683.82031,1810.123291
2021-04-18,56216.18359,1799.03772
2021-04-19,55724.26563,1782.943115
2021-04-20,56473.03125,1789.646973
2021-04-21,53906.08984,1815.226196
2021-04-22,51762.27344,1796.740723
2021-04-23,51093.65234,1803.718384
2021-04-24,50050.86719,1788.917358
2021-04-25,49004.25391,1782.609009
2021-04-26,54021.75391,1794.08606
2021-04-27,55033.11719,1791.416748
2021-04-28,54824.70313,1797.790039
2021-04-29,53555.10938,1786.897339
2021-04-30,57750.17578,1785.073242
2021-05-01,57828.05078,1790.326538
2021-05-02,56631.07813,1784.737915
2021-05-03,57200.29297,1801.700928
2021-05-04,53333.53906,1785.778564
2021-05-05,57424.00781,1799.232422
2021-05-06,56396.51563,1839.227051
2021-05-07,57356.40234,1856.898682
2021-05-08,58803.77734,1863.476685
2021-05-09,58232.31641,1891.490234
2021-05-10,55859.79688,1879.342041
2021-05-11,56704.57422,1861.775269
2021-05-12,49150.53516,1829.009888
2021-05-13,49716.19141,1862.187866
2021-05-14,49880.53516,1869.825195
2021-05-15,46760.1875,1882.572021
2021-05-16,46456.05859,1948.342407
2021-05-17,43537.51172,1894.62915
2021-05-18,42909.40234,1878.786499
2021-05-19,37002.44141,1874.397949
2021-05-20,40782.73828,1888.310669
2021-05-21,37304.69141,1904.620728
2021-05-22,37536.63281,1905.878784
2021-05-23,34770.58203,1895.643311
2021-05-24,38705.98047,1882.655396
2021-05-25,38402.22266,1903.53894
2021-05-26,39294.19922,1905.419556
2021-05-27,38436.96875,1903.944702
2021-05-28,35697.60547,1919.745483
2021-05-29,34616.06641,1933.510742
2021-05-30,35678.12891,1914.849731
2021-05-31,37332.85547,1919.001953
2021-06-01,36684.92578,1909.972534
