Date,ADA,BNB,BTC,DOGE,DOT,ETH,MATIC,SHIB-USD,SOL,XRP
03/01/2022,1.321637034,512.1359863,46458.11719,0.170087993,30.10510063,3761.380371,2.432651997,3.30E-05,170.2977448,0.832885027
04/01/2022,1.311658025,507.5061035,45897.57422,0.168803006,28.77773094,3794.056641,2.367248058,3.20E-05,167.9389038,0.824672997
05/01/2022,1.236001968,475.0569458,43569.00391,0.159419999,26.79614067,3550.386963,2.195475101,3.00E-05,155.0997314,0.774357975
06/01/2022,1.279782057,473.2756042,43160.92969,0.160212994,26.7608223,3418.408203,2.250780106,3.10E-05,150.4313507,0.781346023
07/01/2022,1.211547017,447.7884827,41557.90234,0.155022994,24.92523956,3193.210449,2.053826094,2.90E-05,136.4028168,0.763073981
08/01/2022,1.18751204,430.2461548,41733.94141,0.151953995,24.02912903,3091.972656,1.995859981,2.80E-05,142.5134583,0.747687995
09/01/2022,1.173859954,438.8030701,41911.60156,0.151065007,24.62731934,3157.751465,2.115518093,2.80E-05,140.8390045,0.754504979
10/01/2022,1.128051996,424.9337769,41821.26172,0.143359005,23.78005981,3083.0979,2.071801901,2.70E-05,135.9549408,0.739335001
11/01/2022,1.185109973,463.5183105,42735.85547,0.153399006,25.54393005,3238.111572,2.356945038,2.80E-05,140.1838531,0.770554006
12/01/2022,1.304535031,487.0074158,43949.10156,0.161651999,27.31949425,3372.258301,2.392591,3.20E-05,151.7031097,0.79954797
13/01/2022,1.233160973,475.0291138,42591.57031,0.172042996,25.82888985,3248.288574,2.263317108,3.00E-05,146.0100403,0.768328011
14/01/2022,1.29092598,489.8674316,43099.69922,0.183549002,27.71286392,3310.001465,2.33772707,3.10E-05,146.1590271,0.774296999
15/01/2022,1.29626298,494.9880676,43177.39844,0.185102999,27.73683357,3330.530762,2.353693008,3.10E-05,147.801178,0.781422973
16/01/2022,1.407251,498.4279175,43113.87891,0.177175999,27.66512871,3350.921875,2.329822063,3.10E-05,147.8565216,0.778954029
17/01/2022,1.594130993,475.7098694,42250.55078,0.171145007,25.72735214,3212.304932,2.221970081,2.90E-05,139.9260101,0.762741983
18/01/2022,1.465541005,472.0050659,42375.63281,0.165484995,25.16892815,3164.025146,2.12843895,2.80E-05,141.5871887,0.752631009
19/01/2022,1.341757059,462.8220825,41744.32813,0.162356004,24.12955284,3095.825928,2.035978079,2.70E-05,135.7923889,0.739749014
20/01/2022,1.258054972,440.0054321,40680.41797,0.155203998,22.98488617,3001.120117,1.960373044,2.60E-05,127.2052841,0.719421029
21/01/2022,1.123232961,383.0739136,36457.31641,0.142639995,19.64629364,2557.931641,1.698989987,2.20E-05,111.9660568,0.635738015
22/01/2022,1.066715956,358.0961609,35030.25,0.132891998,18.22985649,2405.181152,1.530622959,2.10E-05,94.17836761,0.596041977
23/01/2022,1.122370958,383.93396,36276.80469,0.141863003,18.82877541,2535.039063,1.616248012,2.20E-05,99.57822418,0.628755987
24/01/2022,1.066598058,371.3689575,36654.32813,0.137797996,18.03674889,2440.352295,1.507573009,2.10E-05,91.65016174,0.612138987
25/01/2022,1.043573976,384.6193542,36954.00391,0.143049002,18.34864616,2455.935059,1.55853796,2.10E-05,94.72035217,0.617563009
26/01/2022,1.079046965,375.7554626,36852.12109,0.143788993,18.07683945,2468.030273,1.591055036,2.10E-05,92.23804474,0.622071981
27/01/2022,1.043532968,390.0882874,37138.23438,0.141247004,18.1348114,2423.001221,1.59168303,2.10E-05,89.63249207,0.608770013
28/01/2022,1.050606012,386.0843811,37784.33203,0.141655996,18.33958054,2547.092041,1.679216981,2.10E-05,91.31289673,0.612511992
29/01/2022,1.059569955,389.132782,38138.17969,0.143056005,18.71024132,2597.084717,1.694964051,2.20E-05,96.22348785,0.616935015
30/01/2022,1.037472963,377.612915,37917.60156,0.139470994,18.17252731,2603.466553,1.60532999,2.10E-05,93.29767609,0.603181005
31/01/2022,1.052302957,375.2773132,38483.125,0.141804993,19.42054558,2688.278809,1.643921018,2.10E-05,99.7388382,0.619149029
01/02/2022,1.088624001,385.4638062,38743.27344,0.142630994,19.61420441,2792.117188,1.647593021,2.20E-05,109.978981,0.629233003
02/02/2022,1.028905988,367.4716797,36952.98438,0.137235001,18.79689789,2682.854004,1.541885018,2.10E-05,101.8376007,0.601482987
03/02/2022,1.056444049,370.8777466,37154.60156,0.137540996,18.81250763,2679.162598,1.550246,2.10E-05,101.4590378,0.607684016
04/02/2022,1.135624051,399.0296021,41500.875,0.147503003,20.42466354,2983.586914,1.690829992,2.20E-05,112.1742477,0.655876994
05/02/2022,1.127344966,414.2000122,41441.16406,0.147140995,21.36698914,3014.648193,1.714359999,2.30E-05,113.8943024,0.667127013
06/02/2022,1.144546986,419.5455627,42412.43359,0.15377,21.90333557,3057.476074,1.739951015,2.80E-05,115.2997589,0.683646977
07/02/2022,1.197306991,433.2292786,43840.28516,0.165577993,22.36450958,3142.470703,2.019141912,3.30E-05,117.3551483,0.82781899
08/02/2022,1.178719997,408.7767639,44118.44531,0.158405006,21.68914795,3122.608643,1.948614001,3.10E-05,113.5954819,0.878193974
09/02/2022,1.194810033,422.4655457,44338.79688,0.159123003,21.93041229,3239.457031,2.042768002,3.30E-05,114.0193787,0.870626986
10/02/2022,1.15247798,415.1192322,43565.11328,0.151888996,20.63505363,3077.482178,1.895882964,3.10E-05,106.2028046,0.830009997
11/02/2022,1.080346942,400.4223938,42407.9375,0.144847006,18.9624424,2927.383545,1.714620948,2.90E-05,96.38188171,0.760226011
12/02/2022,1.058199048,403.38974,42244.46875,0.144405007,18.81874084,2917.362793,1.699511051,2.90E-05,95.91820526,0.82240802
13/02/2022,1.045819044,398.8867798,42197.51563,0.148947999,18.83148575,2883.463379,1.670021057,3.00E-05,93.24410248,0.810272992
14/02/2022,1.050266981,403.6607971,42586.91797,0.146002993,18.7147541,2933.479004,1.658877969,3.00E-05,96.43327332,0.80221802
15/02/2022,1.107586026,432.4093933,44575.20313,0.151760995,20.14467621,3179.877197,1.862854958,3.10E-05,104.8733063,0.852333009
16/02/2022,1.084980965,427.9181213,43961.85938,0.149094999,19.80115509,3127.830078,1.838526011,3.10E-05,101.9328995,0.839035988
17/02/2022,1.019894958,402.4500427,40538.01172,0.138551995,18.1099205,2881.481934,1.656870008,2.80E-05,93.41042328,0.767172992
18/02/2022,0.997112989,399.5691833,40030.97656,0.138768002,17.84569931,2785.727539,1.595514059,2.80E-05,90.06546021,0.785889983
19/02/2022,0.997703016,400.0435791,40122.15625,0.141205996,17.8922596,2763.701172,1.631834984,2.80E-05,91.4966507,0.822528005
20/02/2022,0.932901978,380.8259277,38431.37891,0.136868,16.93050957,2628.648438,1.515848994,2.60E-05,90.90141296,0.778295994
21/02/2022,0.858236015,356.6612549,37075.28125,0.128490001,16.19212151,2573.816162,1.408787012,2.40E-05,83.12316132,0.703465998
22/02/2022,0.889016986,374.3074646,38286.02734,0.131552994,16.56427574,2639.299316,1.464475989,2.50E-05,86.46538544,0.722832978
23/02/2022,0.869168997,366.5394897,37296.57031,0.127846003,16.00956917,2590.359619,1.442373991,2.50E-05,84.90278625,0.698746026
24/02/2022,0.853425026,361.2346497,38332.60938,0.123813003,16.17091751,2598.067139,1.439592957,2.40E-05,89.19474792,0.696272016
25/02/2022,0.898027003,374.9149475,39214.21875,0.127575994,17.25030518,2764.535645,1.550650001,2.50E-05,92.59882355,0.768903017
26/02/2022,0.887917995,373.6387634,39105.14844,0.127646998,18.02455902,2781.111816,1.515293956,2.40E-05,90.14156342,0.750972986
27/02/2022,0.858335018,360.5310364,37709.78516,0.123111002,17.47341347,2621.801758,1.453001976,2.30E-05,85.5190506,0.721992016
28/02/2022,0.959828019,395.6124268,43193.23438,0.133156002,18.94108772,2919.201172,1.611191034,2.60E-05,99.5203476,0.782043993
01/03/2022,0.962346017,408.4822998,44354.63672,0.133938,18.8805027,2972.485107,1.621351957,2.70E-05,98.65355682,0.784861982
02/03/2022,0.938661993,409.0003052,43924.11719,0.132990003,18.59346771,2950.118408,1.635244966,2.60E-05,100.6496353,0.768495977
03/03/2022,0.902658999,402.5506897,42451.78906,0.129610002,18.01932335,2834.468994,1.584413052,2.50E-05,95.53919983,0.752184987
04/03/2022,0.842889011,374.2808838,39137.60547,0.122590996,16.75708008,2617.156006,1.474946022,2.40E-05,88.24597931,0.712671995
05/03/2022,0.865671992,384.8733521,39400.58594,0.124995999,17.31272125,2664.831055,1.508265972,2.50E-05,89.64784241,0.754899979
06/03/2022,0.823751986,375.0112,38419.98438,0.120765999,16.97882462,2555.037354,1.43669796,2.40E-05,84.54218292,0.725993991
07/03/2022,0.797379017,381.344635,38062.03906,0.117105,16.43149567,2497.77124,1.416363001,2.30E-05,82.13006592,0.723286986
08/03/2022,0.801249981,381.9585571,38737.26953,0.117028996,16.95365143,2576.747559,1.445284009,2.30E-05,82.25476074,0.720977008
09/03/2022,0.849292994,393.5557556,41982.92578,0.121587999,17.86667633,2729.783447,1.506816983,2.40E-05,88.20206451,0.767235994
10/03/2022,0.806316018,372.1590271,39437.46094,0.116884999,16.97911835,2608.048584,1.439196944,2.30E-05,82.93908691,0.737465024
11/03/2022,0.790125012,372.1840515,38794.97266,0.115602002,17.73442268,2559.562988,1.406504035,2.20E-05,80.74499512,0.802155018
12/03/2022,0.790673971,372.7303772,38904.01172,0.115135998,18.15392303,2574.75415,1.399484992,2.20E-05,81.55381775,0.786587
13/03/2022,0.790995002,361.849823,37849.66406,0.111607999,17.24793243,2518.94458,1.362876058,2.20E-05,78.9360733,0.761350989
14/03/2022,0.803916991,373.466156,39666.75391,0.114047997,17.69595146,2590.696045,1.377899051,2.20E-05,81.17333984,0.774655998
15/03/2022,0.800005972,371.6288452,39338.78516,0.112783998,17.82899666,2620.149658,1.380195975,2.20E-05,82.95508575,0.766782999
16/03/2022,0.838374019,385.5282288,41143.92969,0.116907999,19.05336761,2772.055664,1.468358994,2.30E-05,87.90362549,0.793537974
17/03/2022,0.836784005,391.8247375,40951.37891,0.116502002,18.75173187,2814.854492,1.449110985,2.20E-05,87.87684631,0.793502986
18/03/2022,0.853433013,397.6455078,41801.15625,0.119305998,18.99189186,2945.343018,1.499554992,2.20E-05,89.82203674,0.798265994
19/03/2022,0.901099026,399.8535461,42190.65234,0.123568997,19.3595047,2946.25708,1.528071046,2.40E-05,92.41815186,0.819373012
20/03/2022,0.877092004,390.7683716,41247.82422,0.119153999,18.63864326,2860.459229,1.463919044,2.30E-05,88.61486053,0.806120992
21/03/2022,0.916782022,396.4478149,41077.99609,0.119338997,18.79527092,2897.976563,1.466493011,2.30E-05,88.75720215,0.838151991
22/03/2022,0.976440012,404.3149414,42358.80859,0.122481003,20.25219917,2973.131104,1.505447984,2.30E-05,90.51296997,0.837096989
23/03/2022,1.107481956,408.6097717,42892.95703,0.129727006,21.00395584,3031.067139,1.556303024,2.40E-05,95.10268402,0.837886989
24/03/2022,1.130010962,414.1269836,43960.93359,0.136549994,21.24549103,3108.062012,1.628764987,2.50E-05,102.2236938,0.842967987
25/03/2022,1.097887993,410.8111572,44348.73047,0.131013006,20.54728508,3106.671387,1.579573035,2.40E-05,98.65810394,0.825127006
26/03/2022,1.150593996,415.9197998,44500.82813,0.135867998,20.88795662,3143.178955,1.610803008,2.40E-05,101.764183,0.832772017
27/03/2022,1.18214798,430.5032654,46820.49219,0.144731998,22.44786263,3291.577637,1.693480968,2.60E-05,107.0842209,0.857343018
28/03/2022,1.170184016,430.3908691,47128.00391,0.142656997,21.97044945,3336.634521,1.660387039,2.60E-05,106.4652557,0.863304019
29/03/2022,1.191112041,434.5056763,47465.73047,0.144470006,22.48617935,3401.987793,1.674787045,2.70E-05,111.7103119,0.85799998
30/03/2022,1.190384984,442.684845,47062.66406,0.143209994,22.46834755,3385.157959,1.68461895,2.70E-05,120.6994858,0.860813975
31/03/2022,1.141850948,428.9161072,45538.67578,0.137825996,21.30251122,3281.642822,1.617285967,2.60E-05,122.6614609,0.81456399
01/04/2022,1.165424943,446.6042786,46281.64453,0.141314998,22.01698685,3449.552246,1.693914056,2.60E-05,134.4309387,0.827740014
02/04/2022,1.156007051,436.9553528,45868.94922,0.138913006,22.64453506,3445.059326,1.654024959,2.60E-05,132.1988678,0.824918985
03/04/2022,1.185940981,450.348877,46453.56641,0.146452993,23.20824623,3522.833496,1.688809991,2.70E-05,136.7753296,0.842949986
04/04/2022,1.212944984,447.5249329,46622.67578,0.148590997,22.65777016,3521.241211,1.64991796,2.60E-05,132.4126282,0.827251017
05/04/2022,1.170801044,445.1726074,45555.99219,0.172906995,21.78971481,3411.79248,1.592921019,2.70E-05,126.862236,0.817641973
06/04/2022,1.052770972,420.1463623,43206.73828,0.143417001,19.83963394,3171.691895,1.458747029,2.40E-05,112.8833847,0.761313975
07/04/2022,1.091894031,436.7967834,43503.84766,0.146101996,20.4263916,3233.274658,1.514053941,2.50E-05,118.7965164,0.787999988
08/04/2022,1.026325941,421.6772461,42287.66406,0.142548993,19.40088463,3192.073975,1.435701966,2.40E-05,109.8008804,0.754055977
09/04/2022,1.045014977,427.1530457,42782.13672,0.144302994,19.78758621,3261.91626,1.464321971,2.50E-05,112.9727936,0.763584971
10/04/2022,1.030884981,418.5906677,42207.67188,0.149535,19.28530693,3211.866943,1.433465004,2.50E-05,111.7424393,0.756614029
11/04/2022,0.920449972,394.0868835,39521.90234,0.134654,17.18889236,2981.052246,1.33317399,2.20E-05,99.3391037,0.695023
12/04/2022,0.955145001,413.8739319,40127.18359,0.138076007,17.78587914,3030.376465,1.392868042,2.70E-05,103.3063889,0.716614008
13/04/2022,0.974695981,423.1301575,41166.73047,0.140080005,18.19849968,3118.344238,1.420106053,2.70E-05,105.0019455,0.723850012
14/04/2022,0.932412028,414.6637268,39935.51563,0.143920004,17.93079567,3019.909424,1.372640967,2.60E-05,100.7078018,0.726818979
15/04/2022,0.95471698,417.2937317,40553.46484,0.146026,18.35092163,3040.916504,1.396420956,2.60E-05,101.3097763,0.785674989
16/04/2022,0.952639997,417.4784546,40424.48438,0.143711999,18.63007927,3062.310303,1.390931964,2.60E-05,102.2573166,0.78184098
17/04/2022,0.917465985,407.3777161,39716.95313,0.139458999,17.78047371,2993.40332,1.340073943,2.50E-05,100.4096985,0.75315398
18/04/2022,0.936730027,416.9684143,40826.21484,0.140285999,18.16954613,3057.606689,1.421154976,2.50E-05,102.1585312,0.768016994
19/04/2022,0.95333302,422.3870544,41502.75,0.142664999,18.89681244,3104.106445,1.428176045,2.50E-05,108.5820313,0.775062978
20/04/2022,0.937340975,418.354248,41374.37891,0.140878007,19.08877754,3077.74585,1.41774404,2.50E-05,105.4970016,0.752178013
21/04/2022,0.910474002,405.0214539,40527.36328,0.136364996,18.1859951,2987.480713,1.379861951,2.40E-05,101.7761383,0.73317802
22/04/2022,0.907154024,406.9875183,39740.32031,0.136395007,18.29912949,2964.835693,1.399139047,2.40E-05,100.6120529,0.719193995
23/04/2022,0.888503015,401.6524658,39486.73047,0.134241,18.73267174,2938.114014,1.365970969,2.40E-05,100.7444382,0.707705021
24/04/2022,0.886349976,399.1053772,39469.29297,0.131946996,18.15865707,2922.732666,1.344244957,2.40E-05,99.23579407,0.698738992
25/04/2022,0.898694992,404.3502808,40458.30859,0.157958999,18.11997986,3009.393555,1.35266602,2.40E-05,101.2476349,0.694426
26/04/2022,0.827645004,385.4830627,38117.46094,0.137767002,16.65060043,2808.29834,1.242833018,2.30E-05,95.78215027,0.641699016
27/04/2022,0.840595007,391.4458313,39241.12109,0.139699996,16.94801712,2888.929688,1.257684946,2.30E-05,98.3788681,0.652318001
28/04/2022,0.843949974,406.7182007,39773.82813,0.137363002,16.99651337,2936.940918,1.238903999,2.30E-05,98.18572998,0.644362986
29/04/2022,0.805042982,393.0621643,38609.82422,0.135027006,16.1627903,2815.601807,1.140578985,2.20E-05,94.01134491,0.611406982
30/04/2022,0.756659985,377.7678223,37714.875,0.127556995,14.51993942,2730.186768,1.035750031,2.00E-05,85.09593201,0.587091029
01/05/2022,0.790344,390.2819824,38469.09375,0.132772997,15.38172913,2827.756104,1.101163983,2.20E-05,89.67150879,0.607843995
02/05/2022,0.781529009,389.6706543,38529.32813,0.130937994,14.97844315,2857.4104,1.077590942,2.10E-05,87.58101654,0.614269018
03/05/2022,0.771144986,383.4757996,37750.45313,0.129519999,14.72703743,2783.476318,1.075958967,2.00E-05,85.84237671,0.604848981
04/05/2022,0.896942019,402.502655,39698.37109,0.135809004,16.3052578,2940.644775,1.171031952,2.20E-05,92.77085114,0.646474004
05/05/2022,0.791152,378.7736206,36575.14063,0.128429994,14.58102798,2749.213135,1.064690948,2.00E-05,84.59602356,0.598886013
06/05/2022,0.783358991,379.3042908,36040.92188,0.127901003,14.31310177,2694.979736,1.044132948,2.00E-05,81.76410675,0.602569997
07/05/2022,0.761882007,365.6841125,35501.95313,0.127532005,13.77565384,2636.093018,1.021203995,1.90E-05,78.98342133,0.582346976
08/05/2022,0.739562988,355.3987427,34059.26563,0.124206997,13.2540741,2517.459961,0.974345028,1.80E-05,75.22018433,0.566527009
09/05/2022,0.610087991,299.348938,30296.95313,0.104823999,10.76703644,2245.43042,0.821914971,1.40E-05,63.26965332,0.492940009
10/05/2022,0.628962994,319.3269653,31022.90625,0.108476996,11.3584919,2343.510986,0.890408993,1.60E-05,66.76615143,0.513625979
11/05/2022,0.512799978,269.9627686,28936.35547,0.084581003,8.956188202,2072.108643,0.666290998,1.20E-05,50.21084976,0.413376004
12/05/2022,0.473746002,269.4072571,29047.75195,0.082671002,8.745312691,1961.701538,0.601539016,1.10E-05,44.68358994,0.385206014
13/05/2022,0.52887702,290.584198,29283.10352,0.088330999,10.49330044,2014.418213,0.667541981,1.30E-05,48.59355164,0.423417002
14/05/2022,0.53935802,297.3876038,30101.26563,0.089795999,11.3506813,2056.273926,0.686138988,1.30E-05,52.41722488,0.427774012
15/05/2022,0.597500026,312.0077209,31305.11328,0.092843004,11.79557228,2145.706787,0.737565994,1.30E-05,58.81126022,0.447371006
16/05/2022,0.556716025,297.7101135,29862.91797,0.087840997,10.62463474,2022.725952,0.677281976,1.20E-05,53.64646149,0.422499001
17/05/2022,0.578077018,305.9634399,30425.85742,0.090213001,11.03423595,2090.40918,0.726942003,1.30E-05,57.12562561,0.437622994
18/05/2022,0.505614996,287.4387817,28720.27148,0.083649002,9.50667572,1916.656128,0.627577007,1.20E-05,49.75621033,0.406165987
19/05/2022,0.533321023,306.7915649,30314.33398,0.086723,10.04160595,2018.336182,0.658816993,1.20E-05,52.21397781,0.419975996
20/05/2022,0.517907023,302.3592224,29200.74023,0.083976999,9.684747696,1961.315674,0.636510015,1.20E-05,49.53850937,0.411137015
21/05/2022,0.528313994,312.4660339,29432.22656,0.084463,9.992506981,1974.518311,0.64933902,1.20E-05,50.31798172,0.414673001
