Date,BTC-USD,ETH-USD,FTT-USD,SOL-USD,XRP-USD
08/08/2022,23809.48633,1775.516113,31.48546982,42.1705513,0.37875399
09/08/2022,23164.31836,1703.025024,29.90163994,40.37262344,0.368101001
10/08/2022,23947.64258,1851.742676,31.34862137,42.36586761,0.381065011
11/08/2022,23957.5293,1881.224121,30.52724648,42.82178879,0.380562991
12/08/2022,24402.81836,1957.24646,31.21741867,45.33475876,0.379994988
13/08/2022,24424.06836,1981.336548,31.31477165,46.48534775,0.37796399
14/08/2022,24319.33398,1936.802002,30.86851311,44.91656876,0.376450986
15/08/2022,24136.97266,1904.228149,30.90486336,43.82322311,0.375773996
16/08/2022,23883.29102,1878.139404,30.70647049,43.15880585,0.377236992
17/08/2022,23335.99805,1832.999634,30.08518982,40.40305328,0.379707009
18/08/2022,23212.73828,1847.007813,29.92035103,39.54523087,0.370965004
19/08/2022,20877.55273,1612.987305,26.43770218,35.89025879,0.335049003
20/08/2022,21166.06055,1577.003784,26.73244095,35.26973343,0.337541014
21/08/2022,21534.12109,1619.31897,27.72037125,36.53319931,0.345301986
22/08/2022,21398.9082,1622.505859,27.71950912,35.47438049,0.344720989
23/08/2022,21528.08789,1662.769897,27.79137993,35.64625168,0.347092003
24/08/2022,21395.01953,1657.059204,27.56034088,34.95791626,0.346145004
25/08/2022,21600.9043,1696.457031,27.96648407,35.31646347,0.34949699
26/08/2022,20260.01953,1507.782837,25.95645714,31.72636223,0.338369995
27/08/2022,20041.73828,1491.39502,25.80418587,31.54243279,0.335346997
28/08/2022,19616.81445,1430.547363,25.41328049,30.3922863,0.323094994
29/08/2022,20297.99414,1553.037354,27.35210228,32.4652977,0.333797008
30/08/2022,19796.80859,1523.838867,26.5514679,31.41205597,0.326869011
31/08/2022,20049.76367,1553.684937,26.67275238,31.4729557,0.327870011
01/09/2022,20127.14063,1586.176758,26.90262032,31.5856781,0.333193988
02/09/2022,19969.77148,1577.220459,26.29268265,31.22793007,0.331259012
03/09/2022,19832.08789,1556.872681,26.19641304,31.10948372,0.329968989
04/09/2022,19986.71289,1577.641602,26.38751221,32.10695648,0.331799001
05/09/2022,19812.37109,1617.183228,26.60731506,32.19464874,0.33296001
06/09/2022,18837.66797,1561.748535,25.69022369,30.89174271,0.322207987
07/09/2022,19290.32422,1629.906372,26.0044136,32.71091843,0.337366998
08/09/2022,19329.83398,1635.347656,26.0458889,33.60864639,0.340245008
09/09/2022,21381.15234,1719.085449,27.25623512,34.73976517,0.357517004
10/09/2022,21680.53906,1776.203735,27.72219086,35.12672806,0.357681006
11/09/2022,21769.25586,1761.800049,27.85241127,34.96596146,0.35511899
12/09/2022,22370.44922,1713.765259,28.44346237,37.42418289,0.359445006
13/09/2022,20296.70703,1580.787964,25.99339867,33.43081665,0.333692014
14/09/2022,20241.08984,1634.755005,25.50290108,34.09157181,0.342081994
15/09/2022,19701.21094,1471.693481,24.06729317,33.04768372,0.326335013
16/09/2022,19772.58398,1432.447754,24.06205368,32.20885849,0.356687993
17/09/2022,20127.57617,1469.741699,24.64328575,33.7507782,0.377003998
18/09/2022,19419.50586,1335.329102,23.44345665,31.05985451,0.358323008
19/09/2022,19544.12891,1377.541382,24.20957184,32.68530273,0.38707301
20/09/2022,18890.78906,1324.388184,23.34715462,31.43304062,0.415183008
21/09/2022,18547.40039,1252.607788,22.80485725,30.82637787,0.396827996
22/09/2022,19413.55078,1327.680176,23.72374153,32.40890503,0.485101014
23/09/2022,19297.63867,1328.259521,23.88600922,33.67663574,0.507170975
24/09/2022,18937.01172,1317.993286,23.68642235,33.4626503,0.488716006
25/09/2022,18802.09766,1294.216797,23.52565765,32.33536148,0.492626995
26/09/2022,19222.67188,1335.32019,24.2084198,33.8805542,0.46767801
27/09/2022,19110.54688,1330.127686,23.68621635,32.7501297,0.448776007
28/09/2022,19426.7207,1337.410889,24.0842514,33.2354393,0.450672001
